,name,first_name,surname,orcid,scopus_id
0,Djura Smits,Djura,Smits,0000-0003-4096-0260,57339115500
1,Niels Drost,Niels,Drost,0000-0001-9795-7981,15065185400
2,Tom Klaver,Tom,Klaver,0000-0001-9411-2107,57103436500
3,Rena Bakhshi,Rena,Bakhshi,0000-0002-2932-3028,24480411800
4,Pushpanjali Pawar,Pushpanjali,Pawar,0000-0002-0655-6160,nan
5,Maria Chertova,Maria,Chertova,,55940841200
6,Jisk Attema,Jisk,Attema,0000-0002-0948-1176,8071168700
7,Dafne van Kuppevelt,Dafne,van Kuppevelt,0000-0002-2662-1994,57199416146
8,Merijn Verstraaten,Merijn,Verstraaten,0000-0002-2717-9851,55510311100
9,Stef Smeets,Stef,Smeets,0000-0002-5413-9038,6603590490
10,Jason Maassen,Jason,Maassen,0000-0002-8172-4865,7006591871
11,Sonja Georgievska,Sonja,Georgievska,0000-0002-8094-4532,25122281500
12,Patrick Bos,Patrick,Bos,0000-0002-6033-960X,54419607800
13,Yifat Dzigan,Yifat,Dzigan,0000-0002-0935-0088,57220157018
14,Romulo Gonçalves,Romulo,Gonçalves,0000-0003-2225-1428,34880075200
15,Vedran Kasalica,Vedran,Kasalica,0000-0002-0097-1056,57205737259
16,Piter de Boer,Piter,de Boer,,16052381000
17,Jens Wehner,Jens,Wehner,0000-0003-1203-5000,57193915409
18,Sven van der Burg,Sven,van der Burg,0000-0003-1250-6968,57222512827
19,Souley Madougou,Souley,Madougou,0000-0002-8493-5860,54931211800
20,Pablo Lopez-Tarifa,Pablo,Lopez-Tarifa,0000-0002-4136-1860,26428846100
21,Adriënne Mendrik,Adriënne,Mendrik,0000-0001-6631-7068,16203802900
22,Meiert Grootes,Meiert,Grootes,0000-0002-5733-4795,37104137300
23,Pranav Chandramouli,Pranav,Chandramouli,0000-0002-7896-2969,55653580200
24,Dani Bodor,Dani,Bodor,0000-0003-2109-2349,54899680700
25,Felipe Zapata,Felipe,Zapata,0000-0001-8286-677X,57204606217
26,Ben van Werkhoven,Ben,van Werkhoven,0000-0002-7508-3272,55052390500
27,Jaro Camphuijsen,Jaro,Camphuijsen,0000-0002-8928-7831,57807781300
28,Carsten Schnober,Carsten,Schnober,0000-0001-9139-1577,56021655100
29,Willem van Hage,Willem,van Hage,0000-0002-6478-3003,13404491300
30,Walter Baccinelli,Walter,Baccinelli,0000-0001-8888-4792,57905129600
31,Hector Cadavid,Hector,Cadavid,0000-0001-6620-7037,36241187000
32,Florian Huber,Florian,Huber,0000-0002-3535-9406,57097799500
33,Ben de Vries,Ben,de Vries,0000-0002-4882-3263,57208058984
34,Christiaan Meijer,Christiaan,Meijer,0000-0002-5529-5761,57190677035
35,Rita Azevedo,Rita,Azevedo,,nan
